id,tema,fragmento,fonte_sugerida
lava_jato_001,corrupção/política,"A Operação Lava Jato investigou corrupção na Petrobras e em empreiteiras a partir de 2014; Nestor Cerveró, ex-diretor da Petrobras, firmou delação premiada em 2015.","MPF, imprensa nacional, registros judiciais; conferir fonte primária antes de publicar"
delacao_001,direito/política,"Delações premiadas são acordos jurídicos formais com o Ministério Público, não negociações comerciais abertas.",Lei 12.850/2013 e manuais jurídicos; conferir fonte legal
aux_moradia_001,judiciário,O auxílio-moradia de magistrados foi benefício pago a juízes e alvo de críticas públicas até mudanças normativas no fim da década de 2010.,CNJ/STF/imprensa; conferir datas específicas
cnj_001,judiciário,O Conselho Nacional de Justiça regulamenta e fiscaliza aspectos administrativos do Poder Judiciário brasileiro.,CNJ; conferir página institucional
gloria_maria_001,mídia/celebridade,"Glória Maria foi jornalista da TV Globo e tornou-se conhecida também por manter a idade em sigilo, tema recorrente em humor midiático.",biografias e imprensa; conferir fonte biográfica
medida_provisoria_001,política/institucional,"Medidas provisórias são editadas pelo presidente da República, têm força de lei imediata e dependem de aprovação posterior do Congresso Nacional.","Constituição Federal, art. 62"
carrefour_001,consumo/crise de imagem,"A rede Carrefour foi alvo de crises públicas no Brasil, incluindo episódios de violência e boicotes amplamente noticiados.",imprensa nacional; conferir caso específico
comunicacao_crise_001,comunicação,Empresas em crise de imagem costumam contratar assessorias e agências de comunicação para gestão de reputação pública.,literatura de comunicação organizacional
verde_amarelo_001,política/memória discursiva,A expressão verde e amarela foi associada a manifestações e ao nacionalismo político brasileiro a partir de 2014.,estudos de discurso político e imprensa
bolsonaro_001,política,"Jair Bolsonaro foi eleito presidente em 2018; decretos, revogações e reedições foram tema frequente de cobertura jornalística durante seu governo.",Planalto/imprensa; conferir ato específico
coletiva_001,jornalismo/política,"Coletivas de imprensa são normalmente convocadas por autoridades, instituições ou assessorias, não pelo povo em geral como sujeito institucional.",conhecimento de práticas jornalísticas
clt_001,trabalho/direito,A CLT regula hipóteses de demissão por justa causa; ofensas ao empregador podem configurar falta grave.,"CLT, art. 482"
cloroquina_001,covid/saúde,Cloroquina e ivermectina não tiveram eficácia comprovada contra a covid-19 segundo consensos científicos e sanitários.,OMS/Anvisa/FDA; conferir documento usado
covid_mortes_001,covid/memória discursiva,O Brasil ultrapassou centenas de milhares de mortes por covid-19; a crise sanitária foi especialmente grave entre 2020 e 2021.,Ministério da Saúde/Our World in Data; conferir números
vacina_covid_001,covid/saúde pública,Vacinas contra a covid-19 começaram a ser aprovadas e aplicadas no Brasil a partir de 2021.,Anvisa/Ministério da Saúde
sensacionalista_001,gênero satírico,O Sensacionalista é um site brasileiro de notícias satíricas que imita o formato jornalístico para produzir humor e crítica.,página institucional do veículo e estudos de sátira jornalística
checagem_001,mídia/desinformação,"Agências como Lupa e Aos Fatos atuam na checagem de boatos, declarações públicas e notícias falsas no Brasil.",páginas institucionais das agências
bbb_001,mídia/cultura pop,O Big Brother Brasil é um reality show da TV Globo cujos participantes costumam gerar repercussão intensa nas redes sociais.,TV Globo/imprensa
horario_verao_001,política/cotidiano,"O horário de verão brasileiro foi extinto por decreto em 2019, tornando-se tema de debates e piadas sobre rotina e economia de energia.",Planalto/imprensa
palmeiras_001,futebol/memória discursiva,O Palmeiras venceu a Libertadores de 2020 e 2021; comparações hiperbólicas com rankings mundiais aparecem em humor esportivo.,CONMEBOL/FIFA/imprensa esportiva
sete_um_001,futebol/memória discursiva,A derrota do Brasil por 7 a 1 para a Alemanha na Copa de 2014 tornou-se memória discursiva nacional acionada em piadas e ironias.,FIFA/imprensa esportiva
rio_001,cidade/memória discursiva,"O Rio de Janeiro é chamado de Cidade Maravilhosa, apelido frequentemente reativado ironicamente diante de problemas urbanos.",estudos culturais/imprensa
fila_001,cotidiano,"Filas em bancos, repartições públicas e INSS são tópicos recorrentes de reclamação e humor no Brasil.",conhecimento sociocultural; idealmente complementar com corpus
transito_sp_001,cidade/cotidiano,O trânsito de São Paulo e o rodízio de veículos são temas clássicos de humor urbano e crítica cotidiana.,CET/imprensa/estudos urbanos
promessa_politica_001,política/discurso eleitoral,Promessas de prioridade à saúde e à educação são fórmulas recorrentes do discurso eleitoral brasileiro.,programas de governo e estudos de discurso político
condominio_whatsapp_001,cotidiano/comunidade discursiva,Reuniões de condomínio e grupos de WhatsApp de família são cenários recorrentes do humor cotidiano brasileiro.,corpus de humor cotidiano; conferir exemplos
salario_minimo_001,economia/cotidiano,O salário mínimo brasileiro é reajustado anualmente e frequentemente discutido como insuficiente diante do custo de vida.,Dieese/IBGE/Governo Federal; conferir ano
impostos_001,economia/política,"A carga tributária brasileira é tema recorrente de crítica pública, especialmente em discursos sobre renda, consumo e serviços públicos.",Receita Federal/OCDE/IBPT; conferir indicador
satira_jornalistica_001,gênero satírico,"Notícias satíricas imitam a estrutura da reportagem jornalística para narrar acontecimentos absurdos como se fossem fatos ordinários, produzindo humor por cenografia séria e incongruência semântica.",estudos de sátira jornalística e análise do discurso; validar bibliografia
absurdo_radioativo_001,humor absurdo/futebol,"Animais gigantes, mutações radioativas e monstros improváveis são scripts ficcionais que, quando inseridos em notícias esportivas ou políticas, funcionam como sinal de sátira e absurdo.",estudos de humor absurdo; corpus de notícias satíricas
flamengo_tecnico_001,futebol/mídia esportiva,"Trocas de técnico em clubes de futebol, especialmente no Flamengo, costumam receber cobertura intensa da imprensa esportiva e são alvo recorrente de paródia jornalística.",imprensa esportiva; corpus de humor futebolístico
wikileaks_001,mídia/política internacional,O WikiLeaks tornou-se conhecido pela divulgação de documentos sigilosos e vazamentos diplomáticos; a inserção de roteiros de comédia nesse contexto desloca o script político para o entretenimento.,história do WikiLeaks e estudos de mídia
naked_gun_001,cinema/cultura pop,"A franquia Corra que a Polícia Vem Aí, com Leslie Nielsen, é associada à paródia policial e ao humor nonsense; seu uso em notícia política aciona intertexto cômico.",história do cinema e crítica cultural
jose_alencar_foursquare_001,política/cultura digital,"José Alencar, ex-vice-presidente, teve longa exposição pública por seu tratamento contra câncer; o aplicativo Foursquare popularizou check-ins e badges, permitindo humor por deslocamento entre hospital e gamificação.",biografia política; história de aplicativos de geolocalização
