caso,enunciado,rotulo
C001,"Que ótimo, mais uma 'gripezinha' para mostrar como estava tudo sob controle.",IRONICO
C002,"Meu projeto deu tão certo que virou meu 7 a 1 particular.",IRONICO
C003,"Entrega da obra no padrão FIFA: bonita no cartaz, invisível na rua.",IRONICO
C004,"O Brasil é o país do futuro — e que futuro pontual, nunca chega.",IRONICO
C005,"Imagina na Copa, disseram. Imaginamos demais.",IRONICO
C006,"Que lindo ouvir tanto 'cálice' quando o assunto é censura.",IRONICO
C007,"Cidade Maravilhosa: acordei com tiroteio e alagamento.",IRONICO
C008,"Ordem e Progresso, mas só se for na placa.",IRONICO
C009,"Ame-o ou deixe-o, claro, democracia por assinatura.",IRONICO
C010,"Nada como tratamento precoce para curar a vontade de checar evidências.",IRONICO
C011,"O aplicativo caiu de novo. Que fase.",IRONICO
C012,"Parabéns aos envolvidos, conseguiram piorar o que já estava ruim.",IRONICO
C013,"Hoje o ônibus atrasou 50 minutos.",NAO_IRONICO
C014,"A obra foi entregue no padrão técnico contratado.",NAO_IRONICO
C015,"Parabéns pelo resultado.",AMBIGUO
C016,"Bonito, né?",INDECIDIVEL
C017,"A reunião foi remarcada para terça-feira.",NAO_IRONICO
C018,"Claro que eu adorei perder o arquivo uma hora antes da entrega.",IRONICO
C019,"A internet caiu durante a reunião.",NAO_IRONICO
C020,"Excelente ideia fazer manutenção no sistema em pleno horário de aula.",IRONICO
C021,"Inteligência Artificial e guerra nuclear competem para ver quem acaba com a Humanidade primeiro",IRONICO
C022,"Coach da Faria Lima ensina investidores a comprar seu primeiro deputado antes dos 30 anos",IRONICO
C023,"Depois de tornar camisa da seleção vermelha, Lula prepara distribuição de kit gay",IRONICO
C024,"Ratos se inspiram em deputados do PL e fazem ato pró-ratoeiras",IRONICO
C025,"Virgínia vai à CPI e consegue cadastrar 40 senadores em plataforma de bet",IRONICO
C026,"Moraes machucou o braço de tanto digitar ""kkkkkk"" em vídeo de Bolsonaro dizendo que vai concorrer em 2026",IRONICO
C027,"Bruno Henrique diz que provará inocência: ""Podem apostar""",IRONICO
C028,"As 7 coisas que todas as mulheres deveriam saber sobre a saúde do coração",NAO_IRONICO
C029,"Equipe funerária do Ebola é atacada no Congo, e 11 pacientes fogem de unidades de isolamento",NAO_IRONICO
C030,"O que acontece com o cérebro quando temos pesadelos e por que descansar não é a mesma coisa que dormir",NAO_IRONICO
C031,"Não recusa um cafezinho",AMBIGUO
C032,"OMS: alimentos contaminados matam 1,5 milhão de pessoas por ano, e crianças pequenas correm maior risco",NAO_IRONICO
C033,"Quem não é visto não é lembrado",NAO_IRONICO
C034,"Você precisa ter atitude de dono",NAO_IRONICO
C035,"Liderança tem que dar o exemplo",NAO_IRONICO
C036,"Saia da sua zona de conforto",NAO_IRONICO
C037,"Igual à Marcela amou-me durante 15 meses e 11 contos de réis",IRONICO
C038,"Olha que coisinha linda!",INDECIDIVEL
C039,"Ameeeeei demais o presente! Obrigada!",NAO_IRONICO
C040,"Meu pedido foi cancelado",NAO_IRONICO
C041,"Meu pedido foi cancelado :)",IRONICO
