tabela,categoria_num,categoria,categoria_descricao,n_recurso,recurso,definicao_fundamentacao,exemplos_pb,features_adt,detectabilidade,observacoes_anotacao
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",1,Antífrase,"Dizer o oposto do que se pretende. Kerbrat-Orecchioni (1980, p. 121-122): ""un contenu patent positif"" para ""un contenu latent négatif"".","""Que ótimo dia! Acordei atrasado, perdi o ônibus e choveu."" ""Parabéns pelo ótimo trabalho!"" (sobre trabalho ruim) ""Internet de Limeira, nunca decepciona!"" (durante queda)",palavras_positivas + palavras_negativas,Moderada,Recurso fundacional. Detectável quando há contraste explícito; opaco quando depende de contexto.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",2,Hipérbole irônica,Exagero avaliativo em inversão. Kreuz e Roberts (1995): indicador primário da ironia verbal.,"""Só levei CINCO HORAS para chegar."" ""Estou MORRENDO de vontade de trabalhar no feriado."" ""Todo governante: 3% Lincoln, 97% Pinochet."" (Millôr)",palavras_intensificadoras + caixa_alta_palavras,Moderada,Superlativos e quantificadores extremos cruzados com polaridade do co-texto.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",3,Lítotes irônica,"Atenuação por negação do contrário. Machado: ""onze amigos"" para quem tinha 300 contos.","""Ele não é exatamente um gênio."" ""Não é nada bonito."" (= muito feio) ""Não é ninguém, não senhora, é o padeiro."" (Rubem Braga)",negacao_presente + palavras_negativas,Baixa,Requer detectar que a atenuação é deliberada e inversa.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",4,Eufemismo irônico,Suavização em contexto de gravidade. Contraste forma/referente.,"""Ele faltou à verdade"" (= mentiu em fraude) ""Estudar a geologia dos campos santos"" (= morrer, Machado) ""Passou o surto de gripe"" (= prisão dos editores, O Pasquim)",—,Baixa,Depende de saber a gravidade real da situação.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",5,Aspas irônicas,"Distanciamento tipográfico. Attardo (2000b); Kerbrat-Orecchioni (1978, p. 38).","""Ele era 'amigo' de todos."" ""O PMDB é um partido tão 'pequeno'!"" (ComentCorpus) ""A 'gripezinha' que matou 700 mil.""",— (parsing tipográfico),Alta,Aspas + adjetivo avaliativo = candidato forte. Também marcam citação (ambiguidade).
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",6,Pontuação expressiva,Acúmulo de !!! ??? ... Burgers et al. (2012): marcadores morfossintáticos.,"""Que MARAVILHA!!!"" / ""Sério mesmo???"" ""Ótimo... simplesmente ótimo."" (reticências) ""A Sra. Presidente é tão honesta... Tadinha..."" (ComentCorpus)",num_exclamacao + num_interrogacao + num_reticencias,Alta,Padrões regex. Valor preditivo isolado baixo; alto em combinação.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",7,Maiúsculas enfáticas,Simulação de ênfase prosódica. Burgers et al. (2012): marcador tipográfico. A caixa alta grafa a intensidade da voz.,"""ADOREI o presente, MARAVILHOSO."" ""SIIIIM, adoreeei ficar 3h na fila do SUS."" ""Muito boa essa Data Folha... KKKKK"" (ComentCorpus)",caixa_alta_palavras,Alta,Regex: 3+ maiúsculas consecutivas em palavra não-sigla.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",8,Marcadores de riso digital,"kkk, rsrs, hahaha, ksksks. Específicos do PB. Modulam tonalidade.","""kk"" → deboche sutil / ""kkkkk"" → riso genuíno ""rsrs"" → distanciamento irônico ""ksksks"" → zombaria, desdém ""Ótimo, perdi o horário rsrsrs.""",— (léxico de riso),Moderada,Comprimento da cadeia (kk vs kkkkk) modula significado. Co-ocorrência com avaliativo.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",9,"""Só que não"" (#sqn)","Interjeição delocutiva. Zoppi-Fontana e Oliveira (2016, p. 137): marcador explícito de cancelamento irônico.","""Adoro estudar para provas. #sqn"" ""Ele é confiável, só que não."" Variantes: #SóQueNão, #Soquenao Extensões: ""só que nunca"", ""só que sim"" (Camargo, 2022)",hashtags (#sqn),Alta,Marcador explícito de cancelamento irônico. Altamente preditivo.
1,1,MARCADORES DE SINALIZAÇÃO IRÔNICA,"CATEGORIA 1 — MARCADORES DE SINALIZAÇÃO IRÔNICA Recursos metacomunicativos que alertam o leitor para a possibilidade de leitura irônica (Attardo, 2000). Features ADT: pontuação, emojis, hashtags, maiúsculas.",10,"""Tá serto""",Erro ortográfico intencional (c→s). Zoppi-Fontana e Oliveira (2016): criação escrita da internet.,"""O governo vai resolver tudo. Tá serto."" Derivações: ""tá sertinho"", ""tá sertíssimo"" Hashtags: #TaSerto, #Serto",— (léxico específico),Alta,"Detectável por distância de edição com ""tá certo"". Específico do PB."
